database_name,schema_name,table_name,column_name,data_type,max_length,precision,scale,is_nullable,is_primary_key
OlistDB,dbo,customers,customer_id,varchar,8000,0,0,True,NO
OlistDB,dbo,customers,customer_unique_id,varchar,8000,0,0,True,NO
OlistDB,dbo,customers,customer_zip_code_prefix,varchar,8000,0,0,True,NO
OlistDB,dbo,customers,customer_city,varchar,8000,0,0,True,NO
OlistDB,dbo,customers,customer_state,varchar,8000,0,0,True,NO
OlistDB,dbo,geolocation,geolocation_zip_code_prefix,varchar,8000,0,0,True,NO
OlistDB,dbo,geolocation,geolocation_lat,float,8,53,0,True,NO
OlistDB,dbo,geolocation,geolocation_lng,float,8,53,0,True,NO
OlistDB,dbo,geolocation,geolocation_state,varchar,8000,0,0,True,NO
OlistDB,dbo,geolocation,geolocation_city_final,varchar,8000,0,0,True,NO
OlistDB,dbo,order_items,order_id,varchar,8000,0,0,True,NO
OlistDB,dbo,order_items,order_item_id,int,4,10,0,True,NO
OlistDB,dbo,order_items,product_id,varchar,8000,0,0,True,NO
OlistDB,dbo,order_items,seller_id,varchar,8000,0,0,True,NO
OlistDB,dbo,order_items,shipping_limit_date,datetime2,8,27,7,True,NO
OlistDB,dbo,order_items,price,float,8,53,0,True,NO
OlistDB,dbo,order_items,freight_value,float,8,53,0,True,NO
OlistDB,dbo,order_payments,order_id,varchar,8000,0,0,True,NO
OlistDB,dbo,order_payments,payment_sequential,int,4,10,0,True,NO
OlistDB,dbo,order_payments,payment_type,varchar,8000,0,0,True,NO
OlistDB,dbo,order_payments,payment_installments,int,4,10,0,True,NO
OlistDB,dbo,order_payments,payment_value,float,8,53,0,True,NO
OlistDB,dbo,order_reviews,review_id,varchar,8000,0,0,True,NO
OlistDB,dbo,order_reviews,order_id,varchar,8000,0,0,True,NO
OlistDB,dbo,order_reviews,review_score,int,4,10,0,True,NO
OlistDB,dbo,order_reviews,final_translated_title,varchar,8000,0,0,True,NO
OlistDB,dbo,order_reviews,final_translated_message,varchar,8000,0,0,True,NO
OlistDB,dbo,order_reviews,review_creation_date,datetime2,8,27,7,True,NO
OlistDB,dbo,order_reviews,review_answer_timestamp,datetime2,8,27,7,True,NO
OlistDB,dbo,orders,order_id,varchar,8000,0,0,True,NO
OlistDB,dbo,orders,customer_id,varchar,8000,0,0,True,NO
OlistDB,dbo,orders,order_status,varchar,8000,0,0,True,NO
OlistDB,dbo,orders,order_purchase_timestamp,datetime2,8,27,7,True,NO
OlistDB,dbo,orders,order_approved_at,datetime2,8,27,7,True,NO
OlistDB,dbo,orders,order_delivered_carrier_date,datetime2,8,27,7,True,NO
OlistDB,dbo,orders,order_delivered_customer_date,datetime2,8,27,7,True,NO
OlistDB,dbo,orders,order_estimated_delivery_date,datetime2,8,27,7,True,NO
OlistDB,dbo,product_category,product_category_name_clean,varchar,8000,0,0,True,NO
OlistDB,dbo,product_category,product_category_name_english_title,varchar,8000,0,0,True,NO
OlistDB,dbo,products,product_id,varchar,8000,0,0,True,NO
OlistDB,dbo,products,product_category_name,varchar,8000,0,0,True,NO
OlistDB,dbo,products,product_name_length,int,4,10,0,True,NO
OlistDB,dbo,products,product_description_length,int,4,10,0,True,NO
OlistDB,dbo,products,product_photos_qty,int,4,10,0,True,NO
OlistDB,dbo,products,product_weight_g,int,4,10,0,True,NO
OlistDB,dbo,products,product_length_cm,int,4,10,0,True,NO
OlistDB,dbo,products,product_height_cm,int,4,10,0,True,NO
OlistDB,dbo,products,product_width_cm,int,4,10,0,True,NO
OlistDB,dbo,sellers,seller_id,varchar,8000,0,0,True,NO
OlistDB,dbo,sellers,seller_zip_code_prefix,varchar,8000,0,0,True,NO
OlistDB,dbo,sellers,seller_city,varchar,8000,0,0,True,NO
OlistDB,dbo,sellers,seller_state,varchar,8000,0,0,True,NO
